title,longitude,latitude,price,size,post_area,dist_to_city_center,link
"Apartment 233, Block C, Station House, The Tramyard, Inchicore, Dublin 8",-6.320015,53.339136,"190,000",42,Dublin 8,3.5180445857227047,http://www.daft.ie/for-sale/apartment-apartment-233-block-c-station-house-the-tramyard-inchicore-dublin-8/3424850
"53b Aras Na Cluaine, Clondalkin, Dublin 22",-6.3832399,53.3271536,"194,000",N/A,Dublin 22,7.888353136170809,http://www.daft.ie/for-sale/apartment-53b-aras-na-cluaine-clondalkin-dublin-22/3197930
"Apartment 61, Hazelgrove Court, Tallaght, Dublin 24",-6.395211,53.276026,"195,000",60,Dublin 24,11.28719630964451,http://www.daft.ie/for-sale/apartment-apartment-61-hazelgrove-court-tallaght-dublin-24/3481581
"Apartment 38, Tuansgate, Belgard Square East, Tallaght, Dublin 24",-6.370205,53.288257,"195,000",42,Dublin 24,9.140895261117688,http://www.daft.ie/for-sale/apartment-apartment-38-tuansgate-belgard-square-east-tallaght-dublin-24/3478856
"9 Carrick House, Rialto, Dublin 8",-6.293741,53.335339,"195,000",36,Dublin 8,1.9404287854843278,http://www.daft.ie/for-sale/apartment-9-carrick-house-rialto-dublin-8/3412053
"Apt. 21 The Landey, Santry, Dublin 9",-6.2451055,53.3973571,"195,000",38,Dublin 9,6.233380971617414,http://www.daft.ie/for-sale/apartment-apt-21-the-landey-santry-dublin-9/3212102
"Apartment 18, The Landey, Santry, Dublin 9",-6.261842,53.400695,"195,000",37,Dublin 9,6.437079937633528,http://www.daft.ie/for-sale/apartment-apartment-18-the-landey-santry-dublin-9/3477066
"14B Echlin Buildings, St. James Gate, Dublin 8",-6.288542,53.342831,"195,000",30,Dublin 8,1.4035572914728403,http://www.daft.ie/for-sale/apartment-14b-echlin-buildings-st-james-gate-dublin-8/3479850
"59 Deerpark Close, Kiltipper, Dublin 24",-6.376884,53.270655,"195,000",N/A,Dublin 24,10.837434812509551,http://www.daft.ie/for-sale/apartment-59-deerpark-close-kiltipper-dublin-24/3495726
"Apartment 6, The Weavers, Dublin 8",-6.280406,53.340991,"195,000",N/A,Dublin 8,0.8891471535891599,http://www.daft.ie/for-sale/apartment-apartment-6-the-weavers-dublin-8/3184887
"24 Quilty House, Clare Village, Malahide Road, Clarehall, Dublin 17",-6.182249,53.399609,"195,000",56,Dublin 17,8.46608846365606,http://www.daft.ie/for-sale/apartment-24-quilty-house-clare-village-malahide-road-clarehall-dublin-17/3490623
"Apartment 60, Beaumont Court, Beaumont, Dublin 9",-6.226502,53.391924,"198,000",40,Dublin 9,6.089242142165784,http://www.daft.ie/for-sale/apartment-apartment-60-beaumont-court-beaumont-dublin-9/3271618
"Apartment 7, Curragh Hall Wood, Curragh Hall Crescent, Tyrrelstown, Dublin 15",-6.388014,53.41657,"199,000",62,Dublin 15,11.450204702110108,http://www.daft.ie/for-sale/apartment-apartment-7-curragh-hall-wood-curragh-hall-crescent-tyrrelstown-dublin-15/2624620
"Stanley Court, 62-63 Prussia Street, Stoneybatter, Dublin 7",-6.287722359487759,53.3553806448364,"199,000",54,Dublin 7,1.9353408187776644,http://www.daft.ie/for-sale/apartment-stanley-court-62-63-prussia-street-stoneybatter-dublin-7/3236983
"3 Cedar Brook Place, Cherry Orchard, Dublin 22",-6.38041,53.337571,"199,950",N/A,Dublin 22,7.526125885879913,http://www.daft.ie/for-sale/duplex-3-cedar-brook-place-cherry-orchard-dublin-22/2829494
"Apartment 1, Liffey Walk, Dublin 1",-6.263429,53.34764,"199,950",43,Dublin 1,0.5893078947243933,http://www.daft.ie/for-sale/apartment-apartment-1-liffey-walk-dublin-1/3490006
"4 Melville Cove, Meakstown, Finglas, Dublin 11",-6.299954,53.402973,"199,950",N/A,Dublin 11,7.020243279946282,http://www.daft.ie/for-sale/apartment-4-melville-cove-meakstown-finglas-dublin-11/2842944
"31 Melville View, Finglas, Dublin 11",-6.294635,53.401975,"199,950",68,Dublin 11,6.81278870011616,http://www.daft.ie/for-sale/apartment-31-melville-view-finglas-dublin-11/3483518
"73 Lanesborough Mews, Finglas, Dublin 11",-6.294618844985962,53.402662675517654,"199,950",N/A,Dublin 11,6.886261607286458,http://www.daft.ie/for-sale/apartment-73-lanesborough-mews-finglas-dublin-11/54430
"45 Deerpark Close, Kiltipper, Tallaght, Dublin 24",-6.376807,53.270761,"199,950",72,Dublin 24,10.825258617556145,http://www.daft.ie/for-sale/apartment-45-deerpark-close-kiltipper-tallaght-dublin-24/2633080
"28A Virginia Park, Finglas South, Finglas, Dublin 11",-6.312333,53.383362,"199,950",N/A,Dublin 11,5.397400517002193,http://www.daft.ie/for-sale/detached-house-28a-virginia-park-finglas-south-finglas-dublin-11/3439017
"40 Mount Eustace Park, Tyrellstown, Tyrrelstown, Dublin 15",-6.39131,53.420175,"199,950",N/A,Dublin 15,11.890137348970345,http://www.daft.ie/for-sale/apartment-40-mount-eustace-park-tyrellstown-tyrrelstown-dublin-15/3411657
"Apartment 45, Beaumont Court, Beaumont, Dublin 9",-6.227202,53.391941,"199,950",40,Dublin 9,6.070386125178855,http://www.daft.ie/for-sale/apartment-apartment-45-beaumont-court-beaumont-dublin-9/3205433
"32 Harrison Row, Rathgar, Dublin 6",-6.27682,53.312281,"MV: €200,000",57,Dublin 6,3.4616731479704335,http://www.daft.ie/for-sale/studio-apartment-32-harrison-row-rathgar-dublin-6/3490120
"12 Chapel Gate, Aylesbury, Tallaght, Dublin 24",-6.366632,53.275967,"200,000",N/A,Dublin 24,9.942704038049067,http://www.daft.ie/for-sale/apartment-12-chapel-gate-aylesbury-tallaght-dublin-24/3424002
"Lower Rd, Strawberry Beds, Lucan, Co. Dublin",-6.408441658979143,53.364128340140155,"200,000",N/A,Co. Dublin,9.653903789211377,http://www.daft.ie/for-sale/site-lower-rd-strawberry-beds-lucan-co-dublin/3464298
"79 Hillbrook Woods, Blanchardstown, Dublin 15",-6.39908,53.393812,"200,000",N/A,Dublin 15,10.410337694768975,http://www.daft.ie/for-sale/terraced-house-79-hillbrook-woods-blanchardstown-dublin-15/3267814
"7 Belfry Lodge, Citywest, Co. Dublin",-6.413935,53.277401,"200,000",65,Co. Dublin,12.158185754461167,http://www.daft.ie/for-sale/apartment-7-belfry-lodge-citywest-co-dublin/2898502
"Apartment 2 Rathlin Hall, Waterville Terrace, Blanchardstown, Dublin 15",-6.371777,53.392084,"MV: €200,000",N/A,Dublin 15,8.824299560559504,http://www.daft.ie/for-sale/apartment-apartment-2-rathlin-hall-waterville-terrace-blanchardstown-dublin-15/3485971
"2 Cruise Park Drive, Tyrellstown, Tyrrelstown, Dublin 15",-6.392609,53.419376,"200,000",N/A,Dublin 15,11.88618204594864,http://www.daft.ie/for-sale/apartment-2-cruise-park-drive-tyrellstown-tyrrelstown-dublin-15/3289018
"Apartment 58, Finnegan House, Viking Harbour Apartments, Dublin 8",-6.283434,53.345868,"205,000",32,Dublin 8,1.1143878874246238,http://www.daft.ie/for-sale/apartment-apartment-58-finnegan-house-viking-harbour-apartments-dublin-8/3470816
"23 Orchard Way, Ayrfield, Dublin 13",-6.179368,53.397719,"MV: €205,000",67,Dublin 13,8.441912262612068,http://www.daft.ie/for-sale/apartment-23-orchard-way-ayrfield-dublin-13/3262425
"36 Greenhills Court, Tallaght, Dublin 24",-6.356986,53.288894,"205,000",N/A,Dublin 24,8.454413303977663,http://www.daft.ie/for-sale/apartment-36-greenhills-court-tallaght-dublin-24/3230199
"122 Mount Garrett Park, Tyrellstown, Tyrrelstown, Dublin 15",-6.393943,53.423052,"205,000",59,Dublin 15,12.242205062572502,http://www.daft.ie/for-sale/apartment-122-mount-garrett-park-tyrellstown-tyrrelstown-dublin-15/3467761
"25 Melville Cove, Finglas, Dublin 11",-6.300108,53.402615,"209,950",N/A,Dublin 11,6.985546042714804,http://www.daft.ie/for-sale/apartment-25-melville-cove-finglas-dublin-11/2940245
"27 Kiltalown Road, Tallaght, Dublin 24",-6.403172,53.277339,"210,000",84,Dublin 24,11.597871454218774,http://www.daft.ie/for-sale/semi-detached-house-27-kiltalown-road-tallaght-dublin-24/3455568
"12 Belfry Close, Citywest, Co. Dublin",-6.416249,53.278436,"210,000",N/A,Co. Dublin,12.213637328153904,http://www.daft.ie/for-sale/apartment-12-belfry-close-citywest-co-dublin/3205123
"15 Belfry Lodge, Citywest, Co. Dublin",-6.413718,53.277425,"210,000",53,Co. Dublin,12.14504277218843,http://www.daft.ie/for-sale/apartment-15-belfry-lodge-citywest-co-dublin/3195167
"83 Jamestown Road, Finglas, Dublin 11",-6.295466,53.392961,"210,000",N/A,Dublin 11,5.869723827782342,http://www.daft.ie/for-sale/terraced-house-83-jamestown-road-finglas-dublin-11/3462141
"8 Carrig Road, Ballymun, Dublin 11",-6.276004314422607,53.399592293387315,"210,000",N/A,Dublin 11,6.329687257873603,http://www.daft.ie/for-sale/apartment-8-carrig-road-ballymun-dublin-11/7950
"125 Allendale Square, Clonsilla, Dublin 15",-6.427856603317679,53.38961072800805,"210,000",62,Dublin 15,11.845684723720934,http://www.daft.ie/for-sale/apartment-125-allendale-square-clonsilla-dublin-15/3285994
"2 Belfry Manor, Citywest, Co. Dublin",-6.416591,53.275806,"210,000",N/A,Co. Dublin,12.405921956264365,http://www.daft.ie/for-sale/apartment-2-belfry-manor-citywest-co-dublin/3249435
"21 Exchange Hall, Belgard Square North, Tallaght, Dublin 24",-6.374264,53.289879,"210,000",60,Dublin 24,9.227693362112058,http://www.daft.ie/for-sale/apartment-21-exchange-hall-belgard-square-north-tallaght-dublin-24/3451410
"72 Hampton Wood Road, Finglas, Dublin 11",-6.288945,53.404875,"214,950",N/A,Dublin 11,7.037957407039257,http://www.daft.ie/for-sale/apartment-72-hampton-wood-road-finglas-dublin-11/3284215
"Apartment 191, Block 4, Parklands, Northwood, Santry, Dublin 9",-6.251774,53.40655,"214,950",N/A,Dublin 9,7.153062368265632,http://www.daft.ie/for-sale/apartment-apartment-191-block-4-parklands-northwood-santry-dublin-9/2934437
"Apartment 5, Hampton Court, Tyrconnell Road, Inchicore, Dublin 8",-6.322813,53.338592,"215,000",N/A,Dublin 8,3.7098957895847446,http://www.daft.ie/for-sale/apartment-apartment-5-hampton-court-tyrconnell-road-inchicore-dublin-8/3484112
"Apartment 69, Mayeston Square, Finglas, Dublin 11",-6.288336,53.406886,"215,000",68,Dublin 11,7.249198345701726,http://www.daft.ie/for-sale/apartment-apartment-69-mayeston-square-finglas-dublin-11/3453463
"25 Parkview Drive, Poppintree, Dublin 11",-6.28929,53.39819,"215,000",72,Dublin 11,6.317161734981757,http://www.daft.ie/for-sale/duplex-25-parkview-drive-poppintree-dublin-11/3474958
"Apartment 15, Mayeston Square, Finglas, Dublin 11",-6.28814,53.406425,"215,000",55,Dublin 11,7.196398103101684,http://www.daft.ie/for-sale/apartment-apartment-15-mayeston-square-finglas-dublin-11/3469217
"15 Grange View Place, Clondalkin, Dublin 22",-6.430725,53.328595,"215,000",68,Dublin 22,10.960364713003807,http://www.daft.ie/for-sale/apartment-15-grange-view-place-clondalkin-dublin-22/3473097
"Apartment 115, Ulysses, Viking Harbour Apartments, Dublin 8",-6.282906,53.345996,"215,000",44,Dublin 8,1.0853880141359322,http://www.daft.ie/for-sale/apartment-apartment-115-ulysses-viking-harbour-apartments-dublin-8/3287403
"Apartment 14, Cassian Court East, Phelan Avenue, Ashtown, Dublin 15",-6.315278,53.37684,"215,000",45,Dublin 15,4.933269129549828,http://www.daft.ie/for-sale/apartment-apartment-14-cassian-court-east-phelan-avenue-ashtown-dublin-15/3460273
"290 Galtymore Road, Drimnagh, Dublin 12",-6.31128,53.335248,"215,000",73,Dublin 12,3.0349945758057864,http://www.daft.ie/for-sale/house-290-galtymore-road-drimnagh-dublin-12/3437212
"59 Oakcourt Lawn, Palmerstown, Dublin 20",-6.369737,53.34672,"215,000",53,Dublin 2,6.806717065577337,http://www.daft.ie/for-sale/bungalow-59-oakcourt-lawn-palmerstown-dublin-20/3490014
"37 Beaumont Hall, Beaumont Woods, Beaumont, Dublin 9",-6.229026,53.386573,"215,000",N/A,Dublin 9,5.483242244230374,http://www.daft.ie/for-sale/apartment-37-beaumont-hall-beaumont-woods-beaumont-dublin-9/3474009
"37 Beaumont Hall, Beaumont Woods, Beaumont, Dublin 9",-6.229026,53.386573,"215,000",N/A,Dublin 9,5.483242244230374,http://www.daft.ie/for-sale/apartment-37-beaumont-hall-beaumont-woods-beaumont-dublin-9/3192135
"Apartment 24, Crescent House, Clontarf, Dublin 3",-6.226859,53.365242,"215,000",N/A,Dublin 3,3.662164756218586,http://www.daft.ie/for-sale/apartment-apartment-24-crescent-house-clontarf-dublin-3/3467003
"6A Shangan Park, Ballymun, Dublin 9",-6.255835,53.396443,"215,000",N/A,Dublin 9,6.00294679790386,http://www.daft.ie/for-sale/duplex-6a-shangan-park-ballymun-dublin-9/3279239
"83 Fortlawn Avenue, Blanchardstown, Dublin 15",-6.403168,53.391486,"215,000",80,Dublin 15,10.503843392039432,http://www.daft.ie/for-sale/terraced-house-83-fortlawn-avenue-blanchardstown-dublin-15/3422679
"5 Kiltalown Walk, Tallaght, Dublin 24",-6.401271,53.277864,"215,000",78,Dublin 24,11.46295731002108,http://www.daft.ie/for-sale/terraced-house-5-kiltalown-walk-tallaght-dublin-24/3442575
"8 Melville Way, Finglas, Dublin 11",-6.293471,53.400175,"215,000",N/A,Dublin 11,6.5993699698189126,http://www.daft.ie/for-sale/apartment-8-melville-way-finglas-dublin-11/3484918
"Apartment 26, Temple Court, Dublin 7",-6.271212,53.353986,"218,000",N/A,Dublin 7,1.2584081643502643,http://www.daft.ie/for-sale/apartment-apartment-26-temple-court-dublin-7/2928467
"24 Deerpark Square, Kiltipper, Tallaght, Dublin 24",-6.356652,53.288049,"219,000",N/A,Dublin 24,8.505970958338903,http://www.daft.ie/for-sale/apartment-24-deerpark-square-kiltipper-tallaght-dublin-24/3262028
"3 Kilmahuddrick Place, Clondalkin, Dublin 22",-6.4285168,53.3255776,"219,000",N/A,Dublin 22,10.87010531150816,http://www.daft.ie/for-sale/terraced-house-3-kilmahuddrick-place-clondalkin-dublin-22/3462546
"83A Fortlawn Avenue, Blanchardstown, Dublin 15",-6.403219,53.391519,"219,000",86,Dublin 15,10.508629689280506,http://www.daft.ie/for-sale/end-of-terrace-house-83a-fortlawn-avenue-blanchardstown-dublin-15/3422952
"Apartment 339, Charlestown Place, Finglas, Dublin 11",-6.302404,53.404136,"219,000",73,Dublin 11,7.194197647368321,http://www.daft.ie/for-sale/apartment-apartment-339-charlestown-place-finglas-dublin-11/3458783
"40 Deerpark Square, Deerpark Estate, Tallaght, Dublin 24",-6.365845,53.285413,"219,000",N/A,Dublin 24,9.144932332680218,http://www.daft.ie/for-sale/duplex-40-deerpark-square-deerpark-estate-tallaght-dublin-24/2936591
"19 Oak House, Carrickmines Green, Carrickmines, Dublin 18",-6.179457,53.249659,"219,950",N/A,Dublin 18,11.901802321536367,http://www.daft.ie/for-sale/apartment-19-oak-house-carrickmines-green-carrickmines-dublin-18/3161060
20 Kilmartin Avenue,-6.400226,53.290393,"220,000",82,N/A,10.580054440594576,http://www.daft.ie/for-sale/terraced-house-20-kilmartin-avenue/3276031
"Summerseat Court, Clonee, Dublin 15",-6.438939,53.408701,"220,000",N/A,Dublin 15,13.52836137831802,http://www.daft.ie/for-sale/apartment-summerseat-court-clonee-dublin-15/2855336
"14 Bective Square, Phibsborough, Dublin 7",-6.272943,53.359711,"220,000",39,Dublin 7,1.9051585933705113,http://www.daft.ie/for-sale/apartment-14-bective-square-phibsborough-dublin-7/2952082
"Apartment 21B, Willan's Way, Ongar, Dublin 15",-6.440879,53.394858,"220,000",N/A,Dublin 15,12.878252598606407,http://www.daft.ie/for-sale/apartment-apartment-21b-willans-way-ongar-dublin-15/3477451
"Apt 104 Orchard Way, Greenwood Estate, Ayrfield, Dublin 13",-6.1793415,53.3981138,"220,000",70,Dublin 13,8.474858254463985,http://www.daft.ie/for-sale/apartment-apt-104-orchard-way-greenwood-estate-ayrfield-dublin-13/3225292
"Apartment 39, Stapleton House, 33 Mountjoy Square, Dublin 1",-6.255267,53.356044,"220,000",43,Dublin 1,1.6687382107351276,http://www.daft.ie/for-sale/apartment-apartment-39-stapleton-house-33-mountjoy-square-dublin-1/2916597
"30 Ivy Court Beaumont Woods, Beaumont, Dublin 9",-6.2290228989534,53.392489124714,"220,000",47,Dublin 9,6.073557926321575,http://www.daft.ie/for-sale/apartment-30-ivy-court-beaumont-woods-beaumont-dublin-9/3471879
"108 Lanesborough Mews, Finglas, Dublin 11",-6.294143,53.402853,"220,000",108,Dublin 11,6.898499732607157,http://www.daft.ie/for-sale/duplex-108-lanesborough-mews-finglas-dublin-11/3481869
"48 Melville Drive, Meakstown, Finglas, Dublin 11",-6.293456,53.401056,"220,000",60,Dublin 11,6.693695984892805,http://www.daft.ie/for-sale/apartment-48-melville-drive-meakstown-finglas-dublin-11/3465076
"Apartment 9, Clonard Court, Poddle Park, Kimmage, Dublin 12",-6.296802,53.316454,"220,000",43,Dublin 12,3.5298304360690937,http://www.daft.ie/for-sale/apartment-apartment-9-clonard-court-poddle-park-kimmage-dublin-12/3431348
"208 New Seskin Court, Tallaght, Dublin 24",-6.360372,53.287144,"224,950",N/A,Dublin 24,8.751075181698123,http://www.daft.ie/for-sale/apartment-208-new-seskin-court-tallaght-dublin-24/3276887
"1 Melville Park, Finglas, Dublin 11",-6.295452,53.4013,"224,950",N/A,Dublin 11,6.755183212660896,http://www.daft.ie/for-sale/apartment-1-melville-park-finglas-dublin-11/3469111
"Apartment 9, Saint Patricks Court, Dublin 8",-6.275798,53.333883,"224,950",50,Dublin 8,1.1472489114370295,http://www.daft.ie/for-sale/apartment-apartment-9-saint-patricks-court-dublin-8/3209430
"61 Silloge Gardens, Ballymun, Dublin 9",-6.267627,53.393519,"224,950",N/A,Dublin 9,5.628596141164088,http://www.daft.ie/for-sale/terraced-house-61-silloge-gardens-ballymun-dublin-9/2565427
"71 Dunsink Drive, Finglas West, Finglas, Dublin 11",-6.304565,53.382554,"224,950",N/A,Dublin 11,5.052103058124284,http://www.daft.ie/for-sale/end-of-terrace-house-71-dunsink-drive-finglas-west-finglas-dublin-11/3470133
"62 Oakcourt Lawn, Palmerstown, Dublin 20",-6.369786,53.346601,"225,000",53,Dublin 2,6.809160431870603,http://www.daft.ie/for-sale/end-of-terrace-house-62-oakcourt-lawn-palmerstown-dublin-20/3476927
"Apartment 129, The Chandler, Dublin 7",-6.275717,53.346421,"225,000",N/A,Dublin 7,0.6768395892849116,http://www.daft.ie/for-sale/apartment-apartment-129-the-chandler-dublin-7/3485463
